property_sum,violent_sum,year,month,county,unemp. rate
68,19,2010,january,san bernardino county,14.0%
13,1,2010,january,los angeles county,13.0%
147,14,2010,january,alameda county,11.4%
112,5,2010,january,alameda county,11.4%
217,63,2010,january,alameda county,11.4%
1,0,2010,january,alameda county,11.4%
13,0,2010,january,alameda county,11.4%
41,4,2010,january,alameda county,11.4%
206,19,2010,january,los angeles county,13.0%
47,2,2010,january,orange county,10.3%
2,0,2010,january,santa barbara county,11.0%
12,0,2010,january,alpine county,10.3%
8,0,2010,january,modoc county,18.0%
34,6,2010,january,amador county,15.3%
36,6,2010,january,napa county,11.7%
696,81,2010,january,orange county,10.3%
45,8,2010,january,shasta county,18.5%
0,0,2010,january,ventura county,11.5%
8,1,2010,january,calaveras county,15.7%
249,72,2010,january,contra costa county,11.6%
142,18,2010,january,san bernardino county,14.0%
164,9,2010,january,los angeles county,13.0%
63,3,2010,january,humboldt county,11.8%
19,0,2010,january,san luis obispo county,10.7%
14,8,2010,january,los angeles county,13.0%
47,15,2010,january,kern county,17.0%
25,2,2010,january,san luis obispo county,10.7%
0,4,2010,january,san luis obispo county,10.7%
16,1,2010,january,san mateo county,9.0%
141,7,2010,january,merced county,20.6%
26,1,2010,january,placer county,12.3%
8,1,2010,january,los angeles county,13.0%
11,4,2010,january,kings county,17.9%
138,22,2010,january,los angeles county,13.0%
1252,181,2010,january,kern county,17.0%
171,21,2010,january,los angeles county,13.0%
53,16,2010,january,riverside county,14.3%
59,20,2010,january,san bernardino county,14.0%
0,0,2010,january,san mateo county,9.0%
5,0,2010,january,kern county,17.0%
65,11,2010,january,riverside county,14.3%
43,10,2010,january,los angeles county,13.0%
69,17,2010,january,los angeles county,13.0%
165,42,2010,january,los angeles county,13.0%
30,6,2010,january,san mateo county,9.0%
33,5,2010,january,solano county,13.3%
606,40,2010,january,alameda county,11.4%
71,5,2010,january,los angeles county,13.0%
22,4,2010,january,san bernardino county,14.0%
4,0,2010,january,butte county,15.1%
6,1,2010,january,inyo county,10.7%
57,3,2010,january,riverside county,14.3%
1,0,2010,january,los angeles county,13.0%
91,8,2010,january,imperial county,27.0%
112,4,2010,january,orange county,10.3%
80,10,2010,january,contra costa county,11.6%
9,0,2010,january,san mateo county,9.0%
3,0,2010,january,san mateo county,9.0%
5,0,2010,january,santa barbara county,11.0%
185,25,2010,january,orange county,10.3%
236,20,2010,january,los angeles county,13.0%
60,9,2010,january,san mateo county,9.0%
90,16,2010,january,butte county,15.1%
16,1,2010,january,alameda county,11.4%
0,0,2010,january,alpine county,10.3%
3,0,2010,january,amador county,15.3%
21,0,2010,january,butte county,15.1%
11,0,2010,january,calaveras county,15.7%
0,0,2010,january,colusa county,27.5%
70,0,2010,january,contra costa county,11.6%
7,0,2010,january,del norte county,13.8%
8,0,2010,january,el dorado county,13.0%
18,0,2010,january,fresno county,18.1%
0,0,2010,january,glenn county,17.4%
17,0,2010,january,humboldt county,11.8%
8,0,2010,january,imperial county,27.0%
0,0,2010,january,inyo county,10.7%
16,0,2010,january,kern county,17.0%
1,0,2010,january,kings county,17.9%
5,0,2010,january,lake county,16.4%
2,0,2010,january,lassen county,16.4%
50,0,2010,january,los angeles county,13.0%
32,0,2010,january,madera county,17.5%
0,0,2010,january,mariposa county,16.2%
6,0,2010,january,mendocino county,13.0%
54,0,2010,january,merced county,20.6%
1,0,2010,january,modoc county,18.0%
0,0,2010,january,mono county,9.1%
12,0,2010,january,monterey county,17.9%
5,0,2010,january,napa county,11.7%
7,0,2010,january,nevada county,12.4%
2,0,2010,january,orange county,10.3%
21,0,2010,january,placer county,12.3%
1,0,2010,january,plumas county,23.6%
1,0,2010,january,riverside county,14.3%
362,0,2010,january,sacramento county,13.2%
1,0,2010,january,san benito county,17.1%
3,0,2010,january,san bernardino county,14.0%
5,0,2010,january,san diego county,11.3%
1,0,2010,january,san francisco county,9.6%
69,0,2010,january,san joaquin county,17.5%
9,0,2010,january,san luis obispo county,10.7%
0,0,2010,january,san mateo county,9.0%
11,0,2010,january,santa barbara county,11.0%
4,0,2010,january,santa clara county,11.3%
19,0,2010,january,santa cruz county,16.3%
11,1,2010,january,shasta county,18.5%
0,0,2010,january,sierra county,19.6%
1,0,2010,january,siskiyou county,19.9%
9,0,2010,january,solano county,13.3%
24,0,2010,january,sonoma county,11.8%
47,1,2010,january,stanislaus county,18.2%
2,0,2010,january,sutter county,19.7%
8,0,2010,january,tehama county,16.8%
3,0,2010,january,trinity county,20.6%
86,0,2010,january,tulare county,18.9%
9,0,2010,january,tuolumne county,16.8%
4,0,2010,january,ventura county,11.5%
0,0,2010,january,yolo county,13.5%
16,1,2010,january,yuba county,19.1%
7,0,2010,january,sacramento county,13.2%
18,0,2010,january,los angeles county,13.0%
17,0,2010,january,san luis obispo county,10.7%
21,4,2010,january,los angeles county,13.0%
40,6,2010,january,calaveras county,15.7%
0,0,2010,january,calaveras county,15.7%
130,6,2010,january,imperial county,27.0%
32,12,2010,january,kern county,17.0%
13,2,2010,january,riverside county,14.3%
2,3,2010,january,imperial county,27.0%
7,0,2010,january,napa county,11.7%
82,1,2010,january,ventura county,11.5%
124,8,2010,january,santa clara county,11.3%
12,1,2010,january,riverside county,14.3%
0,0,2010,january,sacramento county,13.2%
45,11,2010,january,santa cruz county,16.3%
110,20,2010,january,san diego county,11.3%
6,1,2010,january,monterey county,17.9%
8,1,2010,january,santa barbara county,11.0%
188,44,2010,january,los angeles county,13.0%
120,14,2010,january,riverside county,14.3%
162,15,2010,january,stanislaus county,18.2%
160,8,2010,january,los angeles county,13.0%
0,0,2010,january,ventura county,11.5%
194,22,2010,january,butte county,15.1%
166,23,2010,january,san bernardino county,14.0%
84,9,2010,january,san bernardino county,14.0%
24,3,2010,january,madera county,17.5%
412,60,2010,january,san diego county,11.3%
384,45,2010,january,sacramento county,13.2%
64,5,2010,january,los angeles county,13.0%
6,0,2010,january,contra costa county,11.6%
53,5,2010,january,lake county,16.4%
20,2,2010,january,sonoma county,11.8%
286,10,2010,january,fresno county,18.1%
150,26,2010,january,riverside county,14.3%
43,9,2010,january,fresno county,18.1%
4,6,2010,january,fresno county,18.1%
11,2,2010,january,tulare county,18.9%
12,0,2010,january,san mateo county,9.0%
0,0,2010,january,san diego county,11.3%
169,18,2010,january,san bernardino county,14.0%
12,2,2010,january,colusa county,27.5%
15,3,2010,january,colusa county,27.5%
81,18,2010,january,los angeles county,13.0%
220,92,2010,january,los angeles county,13.0%
299,51,2010,january,contra costa county,11.6%
49,1,2010,january,contra costa county,11.6%
249,31,2010,january,contra costa county,11.6%
14,0,2010,january,contra costa county,11.6%
13,1,2010,january,contra costa county,11.6%
24,8,2010,january,kings county,17.9%
20,10,2010,january,tehama county,16.8%
276,18,2010,january,riverside county,14.3%
41,1,2010,january,san diego county,11.3%
300,25,2010,january,orange county,10.3%
4,2,2010,january,sonoma county,11.8%
143,19,2010,january,los angeles county,13.0%
15,2,2010,january,del norte county,13.8%
5,0,2010,january,kern county,17.0%
4,0,2010,january,ventura county,11.5%
10,0,2010,january,butte county,15.1%
10,0,2010,january,los angeles county,13.0%
8,1,2010,january,alameda county,11.4%
16,0,2010,january,fresno county,18.1%
14,1,2010,january,orange county,10.3%
13,0,2010,january,humboldt county,11.8%
23,0,2010,january,los angeles county,13.0%
25,0,2010,january,los angeles county,13.0%
3,0,2010,january,monterey county,17.9%
29,2,2010,january,los angeles county,13.0%
11,0,2010,january,sacramento county,13.2%
17,0,2010,january,san bernardino county,14.0%
32,3,2010,january,san diego county,11.3%
17,2,2010,january,san francisco county,9.6%
28,2,2010,january,santa clara county,11.3%
5,0,2010,january,san diego county,11.3%
3,0,2010,january,sonoma county,11.8%
5,0,2010,january,stanislaus county,18.2%
60,16,2010,january,los angeles county,13.0%
0,0,2010,january,san luis obispo county,10.7%
130,18,2010,january,los angeles county,13.0%
92,5,2010,january,santa clara county,11.3%
86,6,2010,january,orange county,10.3%
170,17,2010,january,san mateo county,9.0%
54,5,2010,january,orange county,10.3%
48,0,2010,january,contra costa county,11.6%
156,9,2010,january,yolo county,13.5%
7,1,2010,january,san diego county,11.3%
20,7,2010,january,del norte county,13.8%
0,0,2010,january,monterey county,17.9%
194,18,2010,january,kern county,17.0%
118,30,2010,january,riverside county,14.3%
78,2,2010,january,los angeles county,13.0%
99,23,2010,january,tulare county,18.9%
50,8,2010,january,solano county,13.3%
0,0,2010,january,siskiyou county,19.9%
16,2,2010,january,merced county,20.6%
290,37,2010,january,los angeles county,13.0%
58,5,2010,january,los angeles county,13.0%
84,6,2010,january,alameda county,11.4%
15,1,2010,january,siskiyou county,19.9%
67,36,2010,january,san mateo county,9.0%
231,33,2010,january,san diego county,11.3%
5,0,2010,january,los angeles county,13.0%
222,19,2010,january,imperial county,27.0%
70,12,2010,january,contra costa county,11.6%
159,30,2010,january,el dorado county,13.0%
235,63,2010,january,los angeles county,13.0%
49,4,2010,january,los angeles county,13.0%
282,47,2010,january,sacramento county,13.2%
91,10,2010,january,alameda county,11.4%
72,8,2010,january,san diego county,11.3%
13,2,2010,january,san joaquin county,17.5%
335,53,2010,january,san diego county,11.3%
0,0,2010,january,siskiyou county,19.9%
127,23,2010,january,humboldt county,11.8%
25,4,2010,january,tulare county,18.9%
321,51,2010,january,solano county,13.3%
2,0,2010,january,orange county,10.3%
14,9,2010,january,tulare county,18.9%
2,0,2010,january,humboldt county,11.8%
17,2,2010,january,ventura county,11.5%
18,0,2010,january,fresno county,18.1%
111,4,2010,january,sacramento county,13.2%
383,62,2010,january,san bernardino county,14.0%
10,3,2010,january,san bernardino county,14.0%
7,0,2010,january,santa clara county,11.3%
24,3,2010,january,mendocino county,13.0%
0,0,2010,january,siskiyou county,19.9%
47,0,2010,january,humboldt county,11.8%
42,1,2010,january,san mateo county,9.0%
102,11,2010,january,orange county,10.3%
0,0,2010,january,merced county,20.6%
11,1,2010,january,fresno county,18.1%
306,36,2010,january,alameda county,11.4%
1836,227,2010,january,fresno county,18.1%
395,43,2010,january,fresno county,18.1%
397,35,2010,january,orange county,10.3%
52,3,2010,january,sacramento county,13.2%
315,45,2010,january,orange county,10.3%
97,33,2010,january,los angeles county,13.0%
136,24,2010,january,santa clara county,11.3%
333,24,2010,january,los angeles county,13.0%
112,5,2010,january,los angeles county,13.0%
11,0,2010,january,glenn county,17.4%
1,0,2010,january,sacramento county,13.2%
28,4,2010,january,santa barbara county,11.0%
11,3,2010,january,monterey county,17.9%
27,2,2010,january,san bernardino county,14.0%
35,4,2010,january,nevada county,12.4%
23,7,2010,january,monterey county,17.9%
18,2,2010,january,butte county,15.1%
30,3,2010,january,san luis obispo county,10.7%
11,2,2010,january,santa barbara county,11.0%
20,1,2010,january,merced county,20.6%
20,0,2010,january,san mateo county,9.0%
79,10,2010,january,kings county,17.9%
14,8,2010,january,los angeles county,13.0%
176,54,2010,january,los angeles county,13.0%
326,75,2010,january,alameda county,11.4%
24,0,2010,january,sonoma county,11.8%
226,28,2010,january,riverside county,14.3%
30,4,2010,january,contra costa county,11.6%
50,4,2010,january,los angeles county,13.0%
146,25,2010,january,san bernardino county,14.0%
2,1,2010,january,los angeles county,13.0%
124,28,2010,january,san bernardino county,14.0%
8,0,2010,january,san mateo county,9.0%
104,17,2010,january,san benito county,17.1%
0,0,2010,january,san benito county,17.1%
9,0,2010,january,stanislaus county,18.2%
99,20,2010,january,humboldt county,11.8%
0,0,2010,january,ventura county,11.5%
377,27,2010,january,orange county,10.3%
214,52,2010,january,los angeles county,13.0%
7,7,2010,january,fresno county,18.1%
4,0,2010,january,imperial county,27.0%
46,12,2010,january,san diego county,11.3%
45,13,2010,january,imperial county,27.0%
27,1,2010,january,riverside county,14.3%
282,35,2010,january,riverside county,14.3%
115,8,2010,january,los angeles county,13.0%
217,73,2010,january,los angeles county,13.0%
0,0,2010,january,riverside county,14.3%
9,3,2010,january,inyo county,10.7%
6,1,2010,january,amador county,15.3%
222,15,2010,january,orange county,10.3%
9,2,2010,january,los angeles county,13.0%
3,0,2010,january,sacramento county,13.2%
7,2,2010,january,amador county,15.3%
12,1,2010,january,contra costa county,11.6%
106,2,2010,january,fresno county,18.1%
915,138,2010,january,kern county,17.0%
24,7,2010,january,monterey county,17.9%
42,18,2010,january,kings county,17.9%
24,2,2010,january,fresno county,18.1%
28,2,2010,january,los angeles county,13.0%
104,10,2010,january,orange county,10.3%
1,1,2010,january,los angeles county,13.0%
196,22,2010,january,san diego county,11.3%
54,7,2010,january,los angeles county,13.0%
21,2,2010,january,orange county,10.3%
84,8,2010,january,los angeles county,13.0%
117,12,2010,january,riverside county,14.3%
54,1,2010,january,los angeles county,13.0%
38,2,2010,january,contra costa county,11.6%
32,10,2010,january,orange county,10.3%
64,1,2010,january,orange county,10.3%
58,4,2010,january,orange county,10.3%
6,2,2010,january,orange county,10.3%
61,13,2010,january,lake county,16.4%
138,11,2010,january,riverside county,14.3%
89,11,2010,january,orange county,10.3%
1,1,2010,january,siskiyou county,19.9%
28,0,2010,january,lake county,16.4%
174,35,2010,january,los angeles county,13.0%
278,76,2010,january,los angeles county,13.0%
0,0,2010,january,los angeles county,13.0%
14,5,2010,january,lassen county,16.4%
30,20,2010,january,los angeles county,13.0%
45,12,2010,january,san diego county,11.3%
68,4,2010,january,kings county,17.9%
38,2,2010,january,placer county,12.3%
31,5,2010,january,tulare county,18.9%
175,30,2010,january,alameda county,11.4%
37,6,2010,january,merced county,20.6%
162,13,2010,january,san joaquin county,17.5%
49,6,2010,january,san bernardino county,14.0%
20,6,2010,january,los angeles county,13.0%
110,41,2010,january,santa barbara county,11.0%
992,244,2010,january,los angeles county,13.0%
16,2,2010,january,orange county,10.3%
32,0,2010,january,santa clara county,11.3%
5,0,2010,january,santa clara county,11.3%
8052,1881,2010,january,los angeles county,13.0%
1520,486,2010,january,los angeles county,13.0%
58,43,2010,january,los angeles county,13.0%
134,9,2010,january,merced county,20.6%
49,2,2010,january,santa clara county,11.3%
92,43,2010,january,los angeles county,13.0%
142,25,2010,january,madera county,17.5%
123,15,2010,january,madera county,17.5%
18,4,2010,january,los angeles county,13.0%
27,5,2010,january,mono county,9.1%
52,7,2010,january,los angeles county,13.0%
158,15,2010,january,san joaquin county,17.5%
51,5,2010,january,monterey county,17.9%
22,3,2010,january,mariposa county,16.2%
93,8,2010,january,contra costa county,11.6%
42,9,2010,january,yuba county,19.1%
51,9,2010,january,los angeles county,13.0%
28,0,2010,january,kern county,17.0%
53,31,2010,january,mendocino county,13.0%
1,0,2010,january,mendocino county,13.0%
26,4,2010,january,fresno county,18.1%
99,6,2010,january,riverside county,14.3%
59,4,2010,january,san mateo county,9.0%
257,65,2010,january,merced county,20.6%
178,36,2010,january,merced county,20.6%
0,0,2010,january,los angeles county,13.0%
32,4,2010,january,san mateo county,9.0%
143,6,2010,january,santa clara county,11.3%
90,8,2010,january,orange county,10.3%
843,129,2010,january,stanislaus county,18.2%
2,4,2010,january,modoc county,18.0%
4,0,2010,january,mono county,9.1%
95,17,2010,january,los angeles county,13.0%
4,0,2010,january,siskiyou county,19.9%
154,24,2010,january,san bernardino county,14.0%
6,0,2010,january,santa clara county,11.3%
158,22,2010,january,los angeles county,13.0%
90,9,2010,january,monterey county,17.9%
0,0,2010,january,monterey county,17.9%
132,19,2010,january,monterey county,17.9%
2,0,2010,january,monterey county,17.9%
73,8,2010,january,los angeles county,13.0%
32,3,2010,january,ventura county,11.5%
19,1,2010,january,contra costa county,11.6%
490,47,2010,january,riverside county,14.3%
44,8,2010,january,santa clara county,11.3%
22,1,2010,january,san luis obispo county,10.7%
1,1,2010,january,siskiyou county,19.9%
129,20,2010,january,santa clara county,11.3%
113,13,2010,january,riverside county,14.3%
137,11,2010,january,napa county,11.7%
22,3,2010,january,napa county,11.7%
3,22,2010,january,napa county,11.7%
156,42,2010,january,san diego county,11.3%
20,3,2010,january,san bernardino county,14.0%
1,2,2010,january,nevada county,12.4%
58,12,2010,january,nevada county,12.4%
133,19,2010,january,alameda county,11.4%
32,2,2010,january,stanislaus county,18.2%
178,8,2010,january,orange county,10.3%
69,0,2010,january,riverside county,14.3%
1,0,2010,january,butte county,15.1%
2,0,2010,january,humboldt county,11.8%
154,39,2010,january,los angeles county,13.0%
60,5,2010,january,stanislaus county,18.2%
1671,452,2010,january,alameda county,11.4%
43,3,2010,january,contra costa county,11.6%
5,0,2010,january,san luis obispo county,10.7%
313,56,2010,january,san diego county,11.3%
0,0,2010,january,san diego county,11.3%
10,0,2010,january,ventura county,11.5%
385,62,2010,january,san bernardino county,14.0%
220,17,2010,january,orange county,10.3%
93,14,2010,january,orange county,10.3%
4,0,2010,january,orange county,10.3%
14,1,2010,january,contra costa county,11.6%
13,5,2010,january,glenn county,17.4%
97,25,2010,january,butte county,15.1%
410,61,2010,january,ventura county,11.5%
55,2,2010,january,monterey county,17.9%
54,5,2010,january,san mateo county,9.0%
170,1,2010,january,riverside county,14.3%
206,25,2010,january,riverside county,14.3%
272,65,2010,january,los angeles county,13.0%
129,3,2010,january,santa clara county,11.3%
14,0,2010,january,los angeles county,13.0%
58,10,2010,january,butte county,15.1%
125,35,2010,january,los angeles county,13.0%
51,3,2010,january,fresno county,18.1%
381,50,2010,january,los angeles county,13.0%
6,0,2010,january,los angeles county,13.0%
68,6,2010,january,san luis obispo county,10.7%
81,10,2010,january,stanislaus county,18.2%
0,53,2010,january,san bernardino county,14.0%
163,9,2010,january,riverside county,14.3%
56,19,2010,january,sonoma county,11.8%
149,19,2010,january,los angeles county,13.0%
27,1,2010,january,alameda county,11.4%
59,12,2010,january,contra costa county,11.6%
27,1,2010,january,san luis obispo county,10.7%
172,14,2010,january,contra costa county,11.6%
81,8,2010,january,orange county,10.3%
167,24,2010,january,placer county,12.3%
24,5,2010,january,el dorado county,13.0%
121,7,2010,january,contra costa county,11.6%
89,4,2010,january,alameda county,11.4%
13,11,2010,january,plumas county,23.6%
447,71,2010,january,los angeles county,13.0%
36,2,2010,january,ventura county,11.5%
136,17,2010,january,tulare county,18.9%
0,0,2010,january,kings county,17.9%
39,7,2010,january,san diego county,11.3%
208,20,2010,january,sacramento county,13.2%
291,30,2010,january,san bernardino county,14.0%
62,2,2010,january,riverside county,14.3%
15,3,2010,january,los angeles county,13.0%
28,3,2010,january,orange county,10.3%
83,13,2010,january,tehama county,16.8%
252,67,2010,january,shasta county,18.5%
222,30,2010,january,san bernardino county,14.0%
127,21,2010,january,los angeles county,13.0%
180,12,2010,january,san mateo county,9.0%
45,13,2010,january,fresno county,18.1%
177,51,2010,january,san bernardino county,14.0%
391,94,2010,january,contra costa county,11.6%
79,10,2010,january,kern county,17.0%
1,3,2010,january,humboldt county,11.8%
10,3,2010,january,solano county,13.3%
29,3,2010,january,san joaquin county,17.5%
63,4,2010,january,stanislaus county,18.2%
939,129,2010,january,riverside county,14.3%
828,101,2010,january,riverside county,14.3%
4,0,2010,january,riverside county,14.3%
102,5,2010,january,placer county,12.3%
77,14,2010,january,sonoma county,11.8%
0,0,2010,january,los angeles county,13.0%
12,3,2010,january,los angeles county,13.0%
115,13,2010,january,los angeles county,13.0%
350,30,2010,january,placer county,12.3%
1836,361,2010,january,sacramento county,13.2%
1409,200,2010,january,sacramento county,13.2%
464,103,2010,january,monterey county,17.9%
24,2,2010,january,san benito county,17.1%
767,120,2010,january,san bernardino county,14.0%
491,95,2010,january,san bernardino county,14.0%
9,0,2010,january,san bernardino county,14.0%
23,7,2010,january,san bernardino county,14.0%
87,4,2010,january,san mateo county,9.0%
55,1,2010,january,san mateo county,9.0%
65,5,2010,january,orange county,10.3%
2543,445,2010,january,san diego county,11.3%
549,138,2010,january,san diego county,11.3%
1,0,2010,january,san diego county,11.3%
28,1,2010,january,san diego county,11.3%
57,5,2010,january,los angeles county,13.0%
30,13,2010,january,los angeles county,13.0%
2759,453,2010,january,san francisco county,9.6%
17,3,2010,january,san francisco county,9.6%
59,10,2010,january,los angeles county,13.0%
111,9,2010,january,riverside county,14.3%
359,55,2010,january,san joaquin county,17.5%
0,0,2010,january,fresno county,18.1%
1913,269,2010,january,santa clara county,11.3%
3,0,2010,january,santa clara county,11.3%
44,1,2010,january,orange county,10.3%
309,33,2010,january,alameda county,11.4%
124,11,2010,january,san luis obispo county,10.7%
98,21,2010,january,san luis obispo county,10.7%
0,0,2010,january,san luis obispo county,10.7%
118,27,2010,january,san diego county,11.3%
23,1,2010,january,los angeles county,13.0%
137,21,2010,january,san mateo county,9.0%
5,1,2010,january,san mateo county,9.0%
129,17,2010,january,san mateo county,9.0%
86,17,2010,january,contra costa county,11.6%
49,1,2010,january,contra costa county,11.6%
8,0,2010,january,monterey county,17.9%
107,9,2010,january,fresno county,18.1%
688,145,2010,january,orange county,10.3%
219,27,2010,january,santa barbara county,11.0%
107,28,2010,january,santa barbara county,11.0%
260,8,2010,january,santa clara county,11.3%
150,28,2010,january,santa clara county,11.3%
4,3,2010,january,santa clara county,11.3%
226,31,2010,january,los angeles county,13.0%
204,44,2010,january,santa cruz county,16.3%
182,21,2010,january,santa cruz county,16.3%
5,0,2010,january,santa cruz county,16.3%
105,10,2010,january,los angeles county,13.0%
188,57,2010,january,santa barbara county,11.0%
220,23,2010,january,los angeles county,13.0%
33,6,2010,january,ventura county,11.5%
317,74,2010,january,sonoma county,11.8%
79,7,2010,january,san diego county,11.3%
30,4,2010,january,santa clara county,11.3%
18,2,2010,january,santa cruz county,16.3%
43,3,2010,january,orange county,10.3%
73,15,2010,january,monterey county,17.9%
19,3,2010,january,sonoma county,11.8%
103,11,2010,january,fresno county,18.1%
54,4,2010,january,kern county,17.0%
92,56,2010,january,shasta county,18.5%
0,0,2010,january,shasta county,18.5%
2,0,2010,january,sierra county,19.6%
0,0,2010,january,placer county,12.3%
15,2,2010,january,los angeles county,13.0%
26,1,2010,january,los angeles county,13.0%
0,0,2010,january,sonoma county,11.8%
194,16,2010,january,ventura county,11.5%
20,3,2010,january,siskiyou county,19.9%
18,4,2010,january,san diego county,11.3%
28,10,2010,january,solano county,13.3%
5,0,2010,january,solano county,13.3%
38,4,2010,january,monterey county,17.9%
3,0,2010,january,santa barbara county,11.0%
14,1,2010,january,sonoma county,11.8%
7,0,2010,january,sonoma county,11.8%
119,44,2010,january,sonoma county,11.8%
2,0,2010,january,sonoma county,11.8%
0,0,2010,january,sonoma county,11.8%
31,4,2010,january,tuolumne county,16.8%
40,9,2010,january,los angeles county,13.0%
219,54,2010,january,los angeles county,13.0%
20,15,2010,january,el dorado county,13.0%
35,5,2010,january,los angeles county,13.0%
172,16,2010,january,san mateo county,9.0%
1,0,2010,january,napa county,11.7%
0,0,2010,january,kern county,17.0%
299,37,2010,january,stanislaus county,18.2%
53,11,2010,january,orange county,10.3%
21,1,2010,january,fresno county,18.1%
1329,314,2010,january,san joaquin county,17.5%
39,13,2010,january,san joaquin county,17.5%
66,8,2010,january,solano county,13.3%
217,12,2010,january,santa clara county,11.3%
34,6,2010,january,lassen county,16.4%
53,14,2010,january,sutter county,19.7%
7,0,2010,january,amador county,15.3%
23,3,2010,january,kern county,17.0%
17,1,2010,january,kern county,17.0%
1,0,2010,january,san bernardino county,14.0%
16,13,2010,january,tehama county,16.8%
214,5,2010,january,riverside county,14.3%
28,3,2010,january,los angeles county,13.0%
140,10,2010,january,ventura county,11.5%
213,33,2010,january,los angeles county,13.0%
204,10,2010,january,san joaquin county,17.5%
1,0,2010,january,humboldt county,11.8%
6,0,2010,january,trinity county,20.6%
23,0,2010,january,nevada county,12.4%
250,33,2010,january,tulare county,18.9%
227,41,2010,january,tulare county,18.9%
1,0,2010,january,siskiyou county,19.9%
52,5,2010,january,tuolumne county,16.8%
288,46,2010,january,stanislaus county,18.2%
152,11,2010,january,orange county,10.3%
56,18,2010,january,san bernardino county,14.0%
0,0,2010,january,sacramento county,13.2%
7,3,2010,january,sacramento county,13.2%
73,1,2010,january,alameda county,11.4%
70,0,2010,january,yolo county,13.5%
1,0,2010,january,san francisco county,9.6%
44,0,2010,january,orange county,10.3%
85,1,2010,january,los angeles county,13.0%
7,2,2010,january,sacramento county,13.2%
1,0,2010,january,merced county,20.6%
20,1,2010,january,riverside county,14.3%
63,0,2010,january,san diego county,11.3%
24,4,2010,january,san francisco county,9.6%
45,0,2010,january,santa barbara county,11.0%
14,2,2010,january,santa cruz county,16.3%
45,7,2010,january,mendocino county,13.0%
158,27,2010,january,alameda county,11.4%
21,0,2010,january,alameda county,11.4%
0,0,2010,january,amador county,15.3%
1,0,2010,january,butte county,15.1%
0,0,2010,january,calaveras county,15.7%
0,0,2010,january,colusa county,27.5%
1,0,2010,january,contra costa county,11.6%
0,0,2010,january,el dorado county,13.0%
0,0,2010,january,fresno county,18.1%
0,0,2010,january,glenn county,17.4%
0,0,2010,january,humboldt county,11.8%
5,0,2010,january,imperial county,27.0%
0,0,2010,january,inyo county,10.7%
1,0,2010,january,kern county,17.0%
0,0,2010,january,kings county,17.9%
0,0,2010,january,lassen county,16.4%
19,1,2010,january,los angeles county,13.0%
0,0,2010,january,madera county,17.5%
0,0,2010,january,mendocino county,13.0%
0,0,2010,january,merced county,20.6%
0,0,2010,january,modoc county,18.0%
0,0,2010,january,monterey county,17.9%
0,0,2010,january,napa county,11.7%
0,0,2010,january,nevada county,12.4%
0,0,2010,january,orange county,10.3%
3,0,2010,january,placer county,12.3%
0,0,2010,january,plumas county,23.6%
3,1,2010,january,riverside county,14.3%
3,0,2010,january,sacramento county,13.2%
0,0,2010,january,san benito county,17.1%
17,0,2010,january,san bernardino county,14.0%
0,0,2010,january,san francisco county,9.6%
10,0,2010,january,san joaquin county,17.5%
0,0,2010,january,san luis obispo county,10.7%
0,0,2010,january,san mateo county,9.0%
0,0,2010,january,santa barbara county,11.0%
0,0,2010,january,santa clara county,11.3%
0,0,2010,january,santa cruz county,16.3%
0,0,2010,january,shasta county,18.5%
0,0,2010,january,sierra county,19.6%
0,0,2010,january,siskiyou county,19.9%
1,0,2010,january,solano county,13.3%
0,0,2010,january,sonoma county,11.8%
0,0,2010,january,stanislaus county,18.2%
0,0,2010,january,sutter county,19.7%
0,0,2010,january,tehama county,16.8%
0,0,2010,january,trinity county,20.6%
1,0,2010,january,tulare county,18.9%
0,0,2010,january,ventura county,11.5%
1,1,2010,january,yolo county,13.5%
0,1,2010,january,yuba county,19.1%
233,23,2010,january,san bernardino county,14.0%
133,29,2010,january,solano county,13.3%
384,60,2010,january,solano county,13.3%
255,22,2010,january,ventura county,11.5%
105,16,2010,january,ventura county,11.5%
19,0,2010,january,ventura county,11.5%
35,1,2010,january,los angeles county,13.0%
302,76,2010,january,san bernardino county,14.0%
4,1,2010,january,orange county,10.3%
394,56,2010,january,tulare county,18.9%
183,32,2010,january,san diego county,11.3%
33,2,2010,january,los angeles county,13.0%
253,13,2010,january,contra costa county,11.6%
21,1,2010,january,stanislaus county,18.2%
162,34,2010,january,santa cruz county,16.3%
12,3,2010,january,siskiyou county,19.9%
268,30,2010,january,los angeles county,13.0%
144,25,2010,january,los angeles county,13.0%
113,10,2010,january,yolo county,13.5%
1,0,2010,january,santa clara county,11.3%
12,0,2010,january,los angeles county,13.0%
202,21,2010,january,orange county,10.3%
1,0,2010,january,imperial county,27.0%
4,0,2010,january,yuba county,19.1%
206,30,2010,january,los angeles county,13.0%
67,5,2010,january,riverside county,14.3%
4,0,2010,january,colusa county,27.5%
11,6,2010,january,mendocino county,13.0%
19,2,2010,january,glenn county,17.4%
35,4,2010,january,sonoma county,11.8%
15,0,2010,january,yolo county,13.5%
24,2,2010,january,tulare county,18.9%
103,12,2010,january,yolo county,13.5%
38,5,2010,january,yolo county,13.5%
61,4,2010,january,orange county,10.3%
2,0,2010,january,napa county,11.7%
29,3,2010,january,siskiyou county,19.9%
141,21,2010,january,sutter county,19.7%
